id,title,authors,year,venue,search_string,
1,Towards automatic scenario generation from coverage information,"Diepenbeck, Melanie and Soeken, Mathias and Gro\ss{}e, Daniel and Drechsler, Rolf",2013,Proceedings of the 8th International Workshop on Automation of Software Test,String A,
2,Proposing regulatory-driven automated test suites for electronic health record systems,"Morrison, Patrick and Holmgreen, Casper and Massey, Aaron and Williams, Laurie",2013,Proceedings of the 5th International Workshop on Software Engineering in Health Care,String A,
3,Connecting user stories and code for test development,"Landh\""{a}u\ss{}er, Mathias and Genaid, Adrian",2012,Proceedings of the Third International Workshop on Recommendation Systems for Software Engineering,String B,
4,"RTCM: a natural language based, automated, and practical test case generation framework","Yue, Tao and Ali, Shaukat and Zhang, Man",2015,Proceedings of the 2015 International Symposium on Software Testing and Analysis,String B,
5,Automated test case generation from domain specific models of high-level requirements,"Olajubu, Oyindamola and Ajit, Suraj and Johnson, Mark and Turner, Scott and Thomson, Scott and Edwards, Mark",2015,Proceedings of the 2015 Conference on Research in Adaptive and Convergent Systems,String B,
6,SS-BDD: Automated Acceptance Testing for Spreadsheets,"Almeida, Lara and Cirilo, Elder and Barbosa, Eiji Adachi",2016,Proceedings of the 1st Brazilian Symposium on Systematic and Automated Software Testing,String B,
7,Using BDD and SBVR to refine business goals into an event-B model: a research idea,"Siqueira, Fabio Levy and de Sousa, Thiago C. and Silva, Paulo S. Muniz",2017,Proceedings of the 5th International FME Workshop on Formal Methods in Software Engineering,String B,
8,StackInTheFlow: behavior-driven recommendation system for stack overflow posts,"Greco, Chase and Haden, Tyler and Damevski, Kostadin",2018,Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings,String A,
9,Combining STPA and BDD for safety analysis and verification in agile development,"Wang, Yang and Wagner, Stefan",2018,Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings,String C,
10,A Natural Language Driven Approach for Automated Web API Development: Gherkin2OAS,"Dimanidis, Anastasios and Chatzidimitriou, Kyriakos C. and Symeonidis, Andreas L.",2018,Companion Proceedings of the The Web Conference 2018,String B,
11,Test Stub Generation from Interaction and Behavioural Models,"Bowen, Judy and Khanal, Swikrit",2018,Proceedings of the ACM SIGCHI Symposium on Engineering Interactive Computing Systems,String A,
12,Behavior-driven development benefits and challenges: reports from an industrial study,"Pereira, Lauriane and Sharp, Helen and de Souza, Cleidson and Oliveira, Gabriel and Marczak, Sabrina and Bastos, Ricardo",2018,Proceedings of the 19th International Conference on Agile Software Development: Companion,String A,
13,Speed up BDD for safety verification in agile development: a partially replicated controlled experiment,"Wang, Yang and Degutis, Daniel Ryan and Wagner, Stefan",2018,Proceedings of the 19th International Conference on Agile Software Development: Companion,String C,
14,A model-driven approach for behavior-driven GUI testing,"B\""{u}nder, Hendrik and Kuchen, Herbert",2019,Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing,String A,
15,Behavior-driven Load Testing Using Contextual Knowledge - Approach and Experiences,"Schulz, Henning and Okanovi\'{c}, Du\v{s}an and van Hoorn, Andr\'{e} and Ferme, Vincenzo and Pautasso, Cesare",2019,Proceedings of the 2019 ACM/SPEC International Conference on Performance Engineering,String A,
16,User interface prototype generation from agile requirements specifications written in concordia,"Pinto, Thiago Delgado and Gon\c{c}alves, Willian Inacio and Costa, Pablo Veiga",2019,Proceedings of the 25th Brazillian Symposium on Multimedia and the Web,String B,
17,Lessons learned about oral-auditory and visual-spatial communication in requirements engineering with deaf stakeholders,"Silva, Ant\^{o}nio C. F. and Rodrigues, C\'{a}ssio L. and Chaveiro, Neuma and Garcia, Renata R. O. and Duarte, Soraya B. R. and Ara\'{u}jo, Mari\'{a} A. R. and Santos, Vin\'{\i}cius B. and Silva, Karina R. G. and Rodrigues, Paulo M. S. and Oliveira, Lu\'{\i}la M. and Sousa, Caio C\'{e}sar Silva",2020,Proceedings of the 35th Annual ACM Symposium on Applied Computing,String B,
18,Feature-Trace: Generating Operational Profile and Supporting Testing Prioritization from BDD Features,"Fazzolino, Rafael and Rodrigues, Gena\'{\i}na Nunes",2019,Proceedings of the XXXIII Brazilian Symposium on Software Engineering,String B,
19,Towards behavior-driven graphical user interface testing,"B\""{u}nder, Hendrik and Kuchen, Herbert",2019,SIGAPP Appl. Comput. Rev.,String A,
20,Leveraging natural-language requirements for deriving better acceptance criteria from models,"Veizaga, Alvaro and Alferez, Mauricio and Torre, Damiano and Sabetzadeh, Mehrdad and Briand, Lionel and Pitskhelauri, Elene",2020,Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,String B,
21,Behavior-Driven Development: A case study on its impacts on agile development teams,"Nascimento, Nicolas and Santos, Alan R. and Sales, Afonso and Chanin, Rafael",2020,Proceedings of the IEEE/ACM 42nd International Conference on Software Engineering Workshops,String A,
22,Ensuring the Consistency between User Requirements and Task Models: A Behavior-Based Automated Approach,"Rocha Silva, Thiago and Winckler, Marco and Tr\ae{}tteberg, Hallvard",2020,Proc. ACM Hum.-Comput. Interact.,String B,
23,Scenarios in the loop: integrated requirements analysis and automotive system validation,"Wiecher, Carsten and Japs, Sergej and Kaiser, Lydia and Greenyer, Joel and Dumitrescu, Roman and Wolff, Carsten",2020,Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,String C,
24,Behavior-Driven Development: An Expert Panel to evaluate benefits and challenges,"Nascimento, Nicolas and Santos, Alan R. and Sales, Afonso and Chanin, Rafael",2020,Proceedings of the XXXIV Brazilian Symposium on Software Engineering,String A,
25,Empirical Findings on BDD Story Parsing to Support Consistency Assurance between Requirements and Artifacts,"Silva, Thiago Rocha and Fitzgerald, Brian",2021,Proceedings of the 25th International Conference on Evaluation and Assessment in Software Engineering,String B,
26,User and System Stories: An Agile Approach for Managing Requirements in AOSE,"Rodriguez, Sebastian and Thangarajah, John and Winikoff, Michael",2021,Proceedings of the 20th International Conference on Autonomous Agents and MultiAgent Systems,String B,
27,Building blocks for IoT testing: a benchmark of IoT apps and a functional testing framework,"Cristea, Rare\c{s} and Feraru, Mihail and Paduraru, Ciprian",2023,Proceedings of the 4th International Workshop on Software Engineering Research and Practice for the IoT,String A,
28,Overlap between Automated Unit and Acceptance Testing – a Systematic Literature Review,"van Heugten Breurkes, Jack and Gilson, Fabian and Galster, Matthias",2022,Proceedings of the 26th International Conference on Evaluation and Assessment in Software Engineering,String A,
29,A Behaviour-Driven Approach for Testing Requirements via User and System Stories in Agent Systems,"Rodriguez, Sebastian and Thangarajah, John and Winikoff, Michael",2023,Proceedings of the 2023 International Conference on Autonomous Agents and Multiagent Systems,String B,
30,"Building User Stories and Behavior Driven Development Scenarios with a Strict Set of Concepts: Ontology, Benefits and Primary Validation","Heng, Samedi and Tsilionis, Konstantinos and Wautelet, Yves",2023,Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,String C,
31,A Survey of Requirements Engineering and Software Testing Practices in Agile Teams,"Coutinho, Jarbele and Andrade, Wilkerson and Machado, Patricia",2022,Proceedings of the 7th Brazilian Symposium on Systematic and Automated Software Testing,String B,
32,Generating Extended Resolution Proofs with a BDD-Based SAT Solver,"Bryant, Randal E. and Heule, Marijn J. H.",2023,ACM Trans. Comput. Logic,String B,
33,CACLE - Automated Mitigation for Misconfiguration Vulnerabilities in Cloud Systems,"Millward, Douglas J. and Reed, Martin J. and Olaniyi, Nkaepe",2023,Proceedings of the 2023 7th International Conference on Cloud and Big Data Computing,String A,
34,Automatic Large Language Model Evaluation via Peer Review,"Chu, Zhumin and Ai, Qingyao and Tu, Yiteng and Li, Haitao and Liu, Yiqun",2024,Proceedings of the 33rd ACM International Conference on Information and Knowledge Management,String C,
