id,Title,Author,Year,Venue,search_string,File Attachments
1,Pattern-Based Automation of User Stories and Gherkin Scenarios from BPMN Models for Agile Requirement,"Mateus, Daniel; da Silveira, Denis Silva; Araujo, João",2025,Applied Sciences,string A,
2,Using behavior-driven development (bdd) for non-functional requirements,"Santos, Shexmo; Pimentel, Tacyanne; Rocha, Fabio Gomes; Soares, Michel S.",2024,Software,string A,C:\Users\hoang\Zotero\storage\J2QRXFPJ\Fernandes et al. - 2025 - A Comparative Study of LLMs for Gherkin Generation.pdf
3,Behavior driven development (BDD): a case study in healthtech,"Bruschi, Stefania; Xiao, L.; Kavatkar, M.; Jimenez-Maggiora, G.",2019,Pacific NW Software Quality Conference,string A,C:\Users\hoang\Zotero\storage\UNINZK8D\Mughal et al. - 2026 - Reducing Maintenance Burden in Behaviour-Driven De.pdf
4,Behaviour Driven Development Scenario Generation with Large Language Models,"Rathnayake, Amila; Shahin, Mojtaba; Abaei, Golnoush",2026,arXiv preprint arXiv:2603.04729,string A,C:\Users\hoang\Zotero\storage\RZR4ZC9D\James - Defining Acceptance Criteria in BDD Using Gherkin.pdf
5,Comprehensive evaluation and insights into the use of large language models in the automation of behavior-driven development acceptance test formulation,"Karpurapu, Shanthi; Myneni, Sravanthy; Nettur, Unnati; Gajja, Likhit Sagar; Burke, Dave; Stiehm, Tom; Payne, Jeffery",2024,IEEE Access,string A,C:\Users\hoang\Zotero\storage\GCT2PD8N\Brandão et al. - 2025 - Real-Time Feedback for BDD Test Scenarios Using AI.pdf
6,Advantages of Automated Testing of Medical Applications and Information Systems Using Gherkin and Behavior-Driven Development,"Horina, Kseniia; Oleksandr, Karatanov",2024,Integrated Computer Technologies in Mechanical Engineering - 2023,string A,C:\Users\hoang\Zotero\storage\Q3MTKSA2\Brandao et al. - 2025 - Classifying BDD Software Tests Using Machine Learn.pdf
7,Comparative analysis of large language model tools for automated test data generation from bdd,"Mendoza, Isela; Silva Filho, Fernando; Medeiros, Gustavo; Paes, Aline; Neves, Vânia O.",2024,Simpósio Brasileiro de Engenharia de Software (SBES),string A,C:\Users\hoang\Zotero\storage\E3K45G4H\Alshammari - 2025 - On the use of user interface specific domain Gherk.pdf
8,"Using Behavior-Driven Development (BDD) for Non-Functional Requirements. Software 2024, 3, 271?283","Santos, S.; Pimentel, T.; Rocha, F. G.; Soares, M. S.",2024,,string A,C:\Users\hoang\Zotero\storage\EC5XSZ57\Oliveira - 2018 - Question-based checklist to evaluate BDD scenarios.pdf
9,AUGMENTING SOFTWARE TESTING AND AUTOMATION THROUGH BEHAVIOR-DRIVEN DEVELOPMENT (BDD) AND ARTIFICIAL IN?LIGENCE,"Dhir, Kunal",,,string A,C:\Users\hoang\Zotero\storage\HZ36WEX3\Oliveira et al. - 2019 - How to Evaluate BDD Scenarios' Quality.pdf
10,Building a BDD Framework from Scratch for Automation Testing,"Chandrika, Asha Rani Rajendran Nair",2023,IJSAT-International Journal on Science and Technology,string A,C:\Users\hoang\Zotero\storage\XA58N55G\Ardic et al. - 2025 - How Students Use Generative AI for Software Testin.pdf
11,Advancing BDD Software Testing: Dynamic Scenario Re-Usability And Step Auto-Complete For Cucumber Framework,"Mughal, A. H.",2024,,string A,C:\Users\hoang\Zotero\storage\7NEBQ962\Zapkus and Slotkiene - 2024 - Unit test generation using large language models.pdf
12,A Systematic Approach to Derive User Stories and Gherkin Scenarios from BPMN Models,"Mateus, Daniel; Da Silveira, Denis Silva; Araújo, João",2023,Business Modeling and Software Design,string A,C:\Users\hoang\Zotero\storage\2XBS7FHP\Aranda III et al. - 2025 - Image2Test Using ChatGPT to build manual tests fr.pdf
13,Implementation of behavior driven development (BDD) through test cases on Sentratekstil web application,"Ginting, Sha Asa Ruth Shanda; Priyadi, Yudi; Riskiana, Rosa Reska",2023,AIP Conference Proceedings,string A,C:\Users\hoang\Zotero\storage\WUEIA66M\Minelle and Stolfi - 2023 - AI to support PM a ChatGPT quality assessment (ß.pdf
14,Guidelines for the adoption of behavior-driven development (BDD): an approach with design science research,"Santos, Shexmo Richarlison Ribeiro dos",2025,,string A,FALSE
15,Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM,"Marczak, Sabrina",2024,SBQS 2024 (ACM),string A,C:\Users\hoang\Zotero\storage\49AUJBJZ\Zhang et al. - 2026 - Enhancing Automated Unit Test Generation with Larg.pdf
16,A Guide for Implementing the Behavior-Driven Development (BDD) Framework in IT Projects,"Budihal, Avinash",2025,,string A,
17,Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation,"Tiwari, Sujeet Kumar",2025,Frontiers in Emerging Computer Science and Information Technology,string A,FALSE
18,A Comparative Study on ChatGPT and Checklist as Support Tools for Unit Testing Education,"Fang, Zihan; Li, Jiliang; Liang, Anda; Bai, Gina R.; Huang, Yu",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,string B,
19,Quality Assessment of Python Tests Generated by Large Language Models,"Alves, Victor; Bezerra, Carla; Machado, Ivan; Rocha, Larissa; Virgínio, Tassio; Silva, Publio",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,string B,FALSE
20,Reinforcement learning from automatic feedback for high-quality unit test generation,"Steenhoek, Benjamin; Tufano, Michele; Sundaresan, Neel; Svyatkovskiy, Alexey",2025,2025 IEEE/ACM International Workshop on Deep Learning for Testing and Testing for Deep Learning (DeepTest),string B,C:\Users\hoang\Zotero\storage\5K3XC7DR\Chudic and Çalikli - 2026 - Automated Test Suite Enhancement Using Large Langu.pdf
21,AI Testing for Smart Learning Applications?A Case Study,"Li, Tony; Nguyen, Quoc Thang; Gao, Jerry",2025,,string B,
22,Automated Test Suite Enhancement Using Large Language Models with Few-shot Prompting,"Chudic, Alex; Çalikli, Gül",2026,arXiv preprint arXiv:2602.12256,string B,
23,Software Unit Test Automation with LLM-Based Generative AI: Evaluating Test Quality through Code Coverage and Edge-Case Analysis,"Genç, Sevdanur; Ceylan, Mustafa Furkan; Istanbullu, Ayhan",2025,2025 10th International Conference on Computer Science and Engineering (UBMK),string B,C:\Users\hoang\Zotero\storage\DRRZSE6A\Liu and Yen - 2025 - Iterative Selection with Self-Review for Vocabular.pdf
24,Quality Evaluation of LLM-based Generated Test Case: A Literature Review,"Setiani, Novi",2025,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),string B,FALSE
25,Improving the Quality of GitHub Copilot Generated Unit Tests,"Schallermayer, Max; Schnappinger, Markus",2026,Software Architecture as the Backbone of Software Quality,string B,
26,Iterative Selection with Self-Review for Vocabulary Test Distractor Generation,"Liu, Yu-Cheng; Yen, An-Zi",2025,The 17th Asian Conference on Machine Learning (Conference Track),string B,C:\Users\hoang\Zotero\storage\88V9DKBA\Steenhoek et al. - 2025 - Reinforcement learning from automatic feedback for.pdf
27,"Usage of Generative AI Based Plugin in Unit Testing: Evaluating the Trustworthiness of Generated Test Cases by Codiumate, an IDE Plugin Powered by GPT-3.5 & 4","Nazari, Ali Reza; Nannicha Thunell, Bow",2024,,string B,FALSE
28,Transformation of Student Testing Using Tests Generated by ChatGPT,"Bedi, Krunoslav",,,string B,FALSE
