id,title,authors,year,venue,doi,pdf_link,abstract,keywords,search_string
1,Notice of Violation of IEEE Publication Principles: Mobile Application Development: Automated Test Input Generation Via Model Inference based on User Story and Acceptance Criteria,H. Iqbal,2019,2019 International Conference on Digitization (ICD),10.1109/ICD47981.2019.9105761,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9105761,"In the past few years, there has been observed explosive growth in the development of Mobile Applications across Android and iOS operating system which has led to the direct impact towards mobile app development. In order to design and propose quality-oriented apps, it is the primary responsibility of the developers to devote time and sufficient efforts towards testing to make the Apps bug free and operational in the hands of end users without any hiccup. In order to test the mobile apps, manual testing procedures takes prolonged amount of time in writing test cases and even the full testing requirements are not met. In addition to this, lack of sufficient knowledge by the tester also impacts overall quality and assurance that app is bug free. To overcome all the issues of testing, and to assure that apps designed by developers are almost bug free, we propose a new testing methodology cum tool “AgileUATM” which works primarily towards white-box and black-box testing. With this tool, all the test cases are generated automatically based on user stories and acceptance criteria by using formal specification and Z3 SMT solvers. To test the validity of the proposed tool, we applied the tool in real-time operational environment with regard to test Mobile apps. Using this tool, all the acceptance criteria is determined via user stories. The testers/developers specify requirements with formal specifications based on programs properties, predicates, invariants, and constraints. From the results, it is observed that the proposed tool i.e. AgileUATM generated effective and accurate test cases, test input, and expected output was generated in a unified fashion from the user stories to meet acceptance criteria. In addition to this, the tool also reduced the development time to identify test data as compared to manual Behavior Driven Development (BDD) methodologies. With this tool, the developers got better idea with regard to required tests and able to translate the customers natural languages to the computer language as well.;Notice of Violation of IEEE Publication Principles <br><br> “Mobile Application Development: Automated Test Input Generation Via Model Inference based on User Story and Acceptance Criteria” <br> by Hena Iqbal <br> in the Proceedings of the International Conference on Digitization (ICD), November 2019, pp. 92-103 <br><br> After careful and considered review of the content and authorship of this paper by a duly constituted expert committee, this paper has been found to be in violation of IEEE’s Publication Principles. <br><br> This paper is a near duplication of the original text from the paper cited below. The original text was copied without attribution (including appropriate references to the original author(s) and/or paper title) and without permission. <br><br> Due to the nature of this violation, reasonable effort should be made to remove all past references to this paper, and future references should be made to the following article: <br><br> “Automated Test Input Generation via Model Inference Based on User Story and Acceptance Criteria for Mobile Application Development” <br> by Duc-Man Nguyen, Quyet-Thang Huynh, Nhu-Hang Ha and Thanh-Hung Nguyen <br> in the International Journal of Software Engineering and Knowledge Engineering, Vol. 30, No. 3 2020, pp. 399-425 <br><br> ",,String A & String B
2,Agile testing using user language automation with artificial intelligence in Enjisst,D. T. Penagos; N. Agudelo,2024,2024 IEEE Latin American Conference on Computational Intelligence (LA-CCI),10.1109/LA-CCI62337.2024.10814749,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10814749,"Current software engineering focuses on achieving higher quality and speed in development and generating value for the business. This article proposes combining scenario thinking from requirement analysis techniques, such as Use Case 2.0, with test design and automation using the approaches of ""Behavior-Driven Development (BDD)"" and ""Acceptance Test-Driven Development (ATDD)."" This approach involves designing automated functional tests supported by artificial intelligence before development, which provides benefits regarding the time and cost of test automation. Enjisst is a user-language test automation platform aimed at creating different options for functional testing, which improves the understanding of the problem and promotes more effective communication of requirements across the entire team. This article demonstrates how Enjisst implements the described approach, which, supported by artificial intelligence and other sophisticated aspects, improves development speed and quality by over 50%. In summary, applying the required quality concepts in current agile and DevOps methodologies is a practical way.",Agile Testing;Agility;Artificial Intelligence in Software Testing;BDD;DevOps;Test Automation,String A & String B
3,Generating Robot Framework Test Scripts from User Stories and Scenarios for Web Application Testing,K. Waitchasarn; A. Thongtak; T. Suwannasart,2023,2023 8th International Conference on Computer and Communication Systems (ICCCS),10.1109/ICCCS57501.2023.10151185,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10151185,"The Scrum Framework combined with Behavior-Driven Development (BDD) has gained popularity as an agile development process. In this approach, user requirements are captured and expressed through user stories and scenarios, which serve as examples and acceptance criteria. Employing small iterations, this process reduces both time and cost of software development. Nonetheless, frequent small iterations pose a significant challenge for testing, especially regression testing. To mitigate the problem, automation testing has been adopted; however, manually composing test scripts can be error-prone and inefficient. This can result in the essential regression tests being deferred to later iterations, rendering it too late to identify errors. This paper proposes an approach to address this issue by generating Robot test scripts automatically from user stories and scenarios. Using XML to lay out the UI structures of the web page, test scripts can be created during the design phase. In addition to the examples provided in scenarios, the XML Schema Definition (XSD) is utilized to produce augmented test datasets automatically. Parameterizing test scripts also enables multiple test scripts with shared test steps but different test datasets, to be consolidated into a single script, thus drastically reducing maintenance effort.",software testing;test automation;data-driven testing;robot framework;test script;user story;scenario,String A
4,Bridging the Gap between Requirements Modeling and Behavior-Driven Development,M. Alferez; F. Pastore; M. Sabetzadeh; L. Briand; J. -R. Riccardi,2019,2019 ACM/IEEE 22nd International Conference on Model Driven Engineering Languages and Systems (MODELS),10.1109/MODELS.2019.00008,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8906976,"Acceptance criteria (AC) are implementation agnostic conditions that a system must meet to be consistent with its requirements and be accepted by its stakeholders. Each acceptance criterion is typically expressed as a natural-language statement with a clear pass or fail outcome. Writing AC is a tedious and error-prone activity, especially when the requirements specifications evolve and there are different analysts and testing teams involved. Analysts and testers must iterate multiple times to ensure that AC are understandable and feasible, and accurately address the most important requirements and workflows of the system being developed. In many cases, analysts express requirements through models, along with natural language, typically in some variant of the UML. AC must then be derived by developers and testers from such models. In this paper, we bridge the gap between requirements models and AC by providing a UML-based modeling methodology and an automated solution to generate AC. We target AC in the form of Behavioral Specifications in the context of Behavioral-Driven Development (BDD), a widely used agile practice in many application domains. More specially we target the well-known Gherkin language to express AC, which then can be used to generate executable test cases. We evaluate our modeling methodology and AC generation solution through an industrial case study in the financial domain. Our results suggest that (1) our methodology is feasible to apply in practice, and (2) the additional modeling effort required by our methodology is outweighed by the benefits the methodology brings in terms of automated and systematic AC generation and improved model precision.",Software testing;BDD;modeling;requirements engineering;text generation;Gherkin;FinTech,String A
5,Domain Specific Modelling and Language for Safety-Critical and Security-Critical Requirements Engineering,V. Sklyar; V. Kharchenko,2022,"2022 12th International Conference on Dependable Systems, Services and Technologies (DESSERT)",10.1109/DESSERT58054.2022.10018738,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10018738,"The paper is devoted to the convergence of critical and non-critical IT in the area of Business Analysis and Requirements Engineering. We consider Domain Specific Modelling (DSM) and Domain Specific Language (DSL) as promising points to improve Requirements Engineering maturity and quality in a safety-critical and security-critical domain. The paper presents a DSM-based procedure of knowledge management that can be implemented in a software engineering company to support the reuse of domain knowledge and technical solutions. Afterward, we select Gherkin language as a sample of DSL-based requirements elicitation, analysis, documentation, and validation in a frame of Behavior Driven Development. To provide a DSM&DSL-based Requirements Engineering technique we analyzed Gherkin's applicability for different kinds and levels of critical requirements.",Requirements Engineering;Domain Specific Modelling;Domain Specific Language,String A & String B
6,Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage,D. Stojanović; B. Pavković; N. Četić; M. Krunić; L. Vidaković,2024,2024 32nd Telecommunications Forum (TELFOR),10.1109/TELFOR63250.2024.10819096,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10819096,"Software development necessitates a robust testing plan though test development can be laborious and nonappealing task. We explore the utilization of the application artificial intelligence agents for generating and executing unit tests, enhancing the “Mostly Basic Python Problems” dataset. We employ behavior-driven development within a three-agent system to generate user stories and unit tests. Empirical results indicate improvements in branch coverage, illustrating the effective utilization of large language models in software testing and development processes.",AI agents;unit test generation;code generation;SW test automation;transformers;BDD,String A
7,Approach to Generating Functional Test Cases from BPMN Process Diagrams,P. von Olberg; L. Strey,2022,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),10.1109/REW56159.2022.00042,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9920124,"Business Process Model and Notation (BPMN) is a popular and widespread modelling language used to describe business processes. These BPMN business process models can serve as a foundation for functional software testing. Functional software testing is an important part of software development, which ensures that software works as expected and that it includes all the desired functionality, as defined in the process models. This position paper presents an approach and considers two different methods on how to automatically create functional test cases from BPMN business process models. The generated test cases shall be understandable for all stakeholders and abstracting from the technical implementation. To achieve this general understandability of the test cases, Gherkin is used as a test case definition language. The two proposed methods will be developed and evaluated in future work. This planned evaluation includes comparing the automatically created test cases with manually created ones.",BPMN;functional software testing;Gherkin;business process modelling,String A
8,"GUI Test Automation Studies: Selenium IDE, Uipath Studio, Katalon Studio",R. B. Bahaweres; N. U. Hasanah,2025,2025 13th International Conference on Cyber and IT Service Management (CITSM),10.1109/CITSM67730.2025.11291304,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11291304,"GUI testing automatically using the capture-replay technique is beneficial in shortening testing time. Some of the automated testing tools that implement this technique are Selenium Ide, Katalon Studio, and Uipath Studio. GUI testing also requires verification for the correctness of each test scenario. We apply the BDD method in two automated test tools: Katalon Studio and UiPath Studio. Katalon Studio applies this method to a scenario consisting of user stories, feature files, and step definitions. NLP algorithms describe and analyze user story data to ensure the proper requirements for writing user stories. Uipath Studio creates an application workflow and test cases using a BDD template. The test application is built based on two different developments: traditional code (XAMPP-PHP) and low code (Oracle Apex and Retools) to enrich the GUI features of the application to be tested. The total points obtained from the three test parameters consisting of test constraints, running tests, and response times are 10 for Selenium Ide, 15 for Uipath Studio, and 10 for Katalon Studio. Eight test cases run on Uipath Studio, while only five run on Katalon Studio and Selenium Ide. Katalon Studio has minor testing constraints with 2 test constraints, and the fastest response time with BDD verification is Uipath Studio, with an average test time of 24.8 seconds.",Software Testing;Automated GUI testing;Behavior Driven Development;Selenium IDE;Katalon Studio. UiPath Studio,String A
9,Exploring Large Language Models for Requirements on String Values,A. A. Babikian; B. Chen; G. Mussbacher,2025,"2025 IEEE/ACM Workshop on Multi-disciplinary, Open, and RElevant Requirements Engineering (MO2RE)",10.1109/MO2RE66661.2025.00009,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028238,"Behavior-driven development (BDD) enables collaboration among different stakeholders by employing a natural-language representation of system requirements and of test scenarios. These scenarios often involve constraints over string values, e.g. for the validity of email addresses, which are challenging to test comprehensively. Traditional methods like SMT solvers (e.g. Z3, Ostrich) handle constraints efficiently but produce unrealistic strings and require formal specifications that are often unavailable and expensive to compute. This paper explores the potential of large language models (LLMs) in generating realistic, constraint-satisfying strings for BDD. We propose an evaluation framework to assess LLMs’ ability to (1) generate consistent string values and (2) detect constraint inconsistencies. In our experiments, three LLMs are compared to state-of-the-art solvers using constraints from a software engineering course project. Results show that while solvers dominate in precision and recall, LLMs derive realistic strings more suitable for a requirements engineering context. With these trade-offs, we believe that, when formal constraints are available, a combined LLM-solver approach could offer a more effective solution.",large language model;specification-based testing;constraint solving,String A
10,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,S. B. Patel; S. Nigam; S. Mahale,2025,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),10.1109/ICoDSE68111.2025.11351772,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11351772,"Behavior-Driven Development (BDD) frameworks like Cucumber and Behave align business requirements with executable tests but remain costly to author and maintain, especially for legacy or evolving systems [1], [2]. We present a novel LLM-driven approach, leveraging LLaMA to reverse-engineer requirements from schemas, API payloads, and partial tests to automatically generate Gherkin feature files with corresponding step definitions. Generated artifacts are drafted into automated pull requests and merged into the repositories via human review [3]. Our proposed method when tested across two enterprise systems, over six sprints, reduced authoring time by about 75%, expanded negative test coverage by 30%, and achieved cost savings ranging from $7,725 in conservative adoption to over $40,000 in high-volume adoption, maintaining infrastructure overhead costs below 3%. Beyond efficiency gains, the approach lowers barriers for teams new to BDD and demonstrates a practical, cost-effective path for industry adoption while opening avenues for research in adaptive prompting, coverage-aware generation, and retrieval-augmented workflows. [3].",Behavior-Driven Development (BDD);Generative AI;Gherkin;Human-in-the-Loop;Inference;Large Language Models (LLMs);Llama;Natural Language Processing (NLP);Software Testing Frameworks;Test Automation,String A
