id;title;authors;year;venue;search_string
1;FlowForge: A Prototype for Generating User Stories and Gherkin Test Cases from BPMN with DMN Integration and Pattern Matching;Rosa Reska Riskiana and Ryan Oktaviandi Susilo Wibowo and Arpriansah Yonathan;2025;International Journal on Information and Communication Technology (IJoICT);String A
2;From BDD Scenarios to Test Case Generation;Tannaz Zameni and Petra van den Bos and Jan Tretmans and Johan Foederer and Arend Rensink;2023;2023 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW);String A
3;Symbolic prime generation for multiple-valued functions;Bill Lin and Olivier Coudert and Jean Christophe Madre;1992;[1992] Proceedings 29th ACM/IEEE Design Automation Conference;String A
4;Integrating symbolic techniques in ATPG-based sequential logic optimization;Enrique San Mill\'an and Luis Entrena and Jos\'e Alberto Espejo and Silvia Chiusano and Fulvio Corno;1999;Design, Automation and Test in Europe Conference and Exhibition, 1999. Proceedings (Cat. No. PR00078);String A
5;GUI Test Automation Studies: Selenium IDE, Uipath Studio, Katalon Studio;Rizal Broer Bahaweres and Nurul Hasanah;2025;2025 13th International Conference on Cyber and IT Service Management (CITSM);String A
6;Narrative world creation with assisted environment filling;Marijn Goedegebure;2018;;String A
7;Pattern-Based Automation of User Stories and Gherkin Scenarios from BPMN Models for Agile Requirement;Daniela Simancas Mateus and Denis Silva da Silveira and Jo\~ao Ara\'ujo;2025;Applied Sciences;String A
8;Automated Test Generation Using LLM Based on BDD: A Comparative Study;Shexmo Richarlison Ribeiro dos Santos and Luiz Felipe Cirqueira dos Santos and Marcus Vinicius Santana Silva and Marcos Cesar Barbosa dos Santos and Mariano Mendonça and Marcos Venicius Santos and Marckson F\'abio da Silva Santos and Alberto Bastos and Sabrina Marczak and Michel Soares and F\'abio Gomes Rocha;2025;International Conference on Web Information Systems and Technologies;String A
9;Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Transforming Web Application Testing;Suresh Babu Nettur and Shanthi Karpurapu and Unnati Nettur and Likhit Sagar Gajja;2025;IEEE Access;String A
10;VIBE Project Management: An Autonomous AI-Driven Framework for Intelligent Agile Project Orchestration;Subramanian Palaniappan and Goutham Kacheru;2026;2026 IEEE International Conference on Emerging Computing and Intelligent Technologies (ICoECIT);String A
11;A Comparative Study of LLMs for Gherkin Generation;Hiago Fernandes and Mirko Barbosa Perkusich and Danyllo Wagner Albuquerque and Izabella Silva and Danilo F. S. Santos and Kyller Costa Gorg\^onio and Angelo Perkusich;2025;Brazilian Symposium on Software Engineering;String A
12;GenAI-based test case generation and execution in SDV platform;Denesa Zyberaj and Lukasz Mazur and Nenad Petrovic and Pankhuri Verma and Pascal Hirmer and Dirk Slama and Xiangwei Cheng and Alois Knoll;2025;ArXiv;String A
13;Trojan localization using symbolic algebra;Farimah Farahmandi and Yuanwen Huang and Prabhat Mishra;2019;2017 22nd Asia and South Pacific Design Automation Conference (ASP-DAC);String A
14;Enhancing simulation with BDDs and ATPG;Malay K. Ganai and Adnan Aziz and Andreas Kuehlmann;1999;Proceedings 1999 Design Automation Conference (Cat. No. 99CH36361);String A
15;Improving Software Testing with RAG-Based LLMs and Supporting Indian Regional Languages;Carol Joanna Bright M and Kripaa P and Karishma S and Freida Judith I and Usama Abdur Rahman;2026;2026 International Conference on Innovative Trends in Information Technology (ICITIIT);String A
16;Mobile Application Development: Automated Test Input Generation Via Model Inference based on User Story and Acceptance Criteria;Hena Iqbal;2019;2019 International Conference on Digitization (ICD);String A
17;On the Computation of the Set of Reachable States of Hybrid Models;;1994;31st Design Automation Conference;String A
18;AI-Augmented Test Automation: Integrating Page Object Model and Behavior-Driven Development for Intelligent and Scalable Software Testing;Vijai Anand Ramar and Karthik Kushala and Venkataramesh Induru and Priyadarshini Radhakrishnan and R Lakshmana Kumar;2024;International Journal of Multidisciplinary Research and Growth Evaluation;String A
19;Generating user stories and acceptance criteria through extensions to the iStar framework;Laura Narv\'aez and Francy Muelas and C\'esar Pardo;2025;Periodicals of Engineering and Natural Sciences (PEN);String A
20;Implementation of Well Delivery Process Application, A Success Story of Digitalization in Well Design Process;Veerawit Benjaboonyazit and Kazem Kiani Nassab and Sompop Buapha and Nithipoom Durongwattana and Rachit Garg;2022;Day 1 Tue, August 09, 2022;String A
21;Minimum Length Synchronizing Sequences of Finite State Machine;June-Kyung Rho and F. Somenzi and Carl Pixley;1993;30th ACM/IEEE Design Automation Conference;String A
22;Exploiting Satisfiability Solvers for Efficient Logic Synthesis;Ana Petkovska;2017;;String A
23;Acceptance Test Generation with Large Language Models: An Industrial Case Study;M. Herm\'inia Ferreira and Luis Viegas and Jo˜ao Pascoal Faria and Bruno Miguel Carvalhido Lima;2025;2025 IEEE/ACM International Conference on Automation of Software Test (AST);String A
24;Proceedings 2003. Design Automation Conference (IEEE Cat. No.03CH37451);;2003;Proceedings 2003. Design Automation Conference (IEEE Cat. No.03CH37451);String A
25;Comprehensive Evaluation and Insights Into the Use of Large Language Models in the Automation of Behavior-Driven Development Acceptance Test Formulation;Shanthi Karpurapu and Sravanthy Myneni and Unnati Nettur and Likhit Sagar Gajja and Dave Burke and Tom Stiehm and Jeffery Payne;2024;IEEE Access;String A
26;Automating test oracles from restricted natural language agile requirements;Maryam Imtiaz Malik and Muddassar Azam Sindhu and Akmal Saeed Khattak and Rabeeh Ayaz Abbasi and Khalid Saleem;2020;Expert Systems;String A
27;Knowledge-based Acceptance Test driven agile Approach for Quality Software Development;N. Asha and Prasanna Mani;2019;;String A
28;BddCut: Towards Scalable Symbolic Cut Enumeration;Andrew C. Ling and Jianwen Zhu and Stephen Dean Brown;2007;2007 Asia and South Pacific Design Automation Conference;String A
29;An Adaptive Scriptless Behavior-Driven Development Automation Framework with Self-Healing Intelligence for Evolving Software Applications;S. Senthil Murugan;2026;Journal of Internet Services and Information Security;String A
30;AI-Assisted Product Management: Transforming the Product Development Lifecycle;Anup Raja Sarabu;2025;International Journal of Scientific Research in Computer Science, Engineering and Information Technology;String A
31;FEATURES OF MODERN WEB APPLICATION TESTING;Ruslan Bahrіi and Serhii Petrovskyi;2022;Herald of Khmelnytskyi National University. Technical sciences;String A
32;The ZSM Story: The Power to Transform;Nurit Sprecher;2020;;String A
33;Integration of Maventa electronic invoicing web service into PlanMill business application suite;Gavin Van Dok;2011;;String A
34;A versatile and robust electrochemical flow cell with a boron-doped diamond electrode for simultaneous determination of Zn2+ and Pb2+ ions in water samples;Vagner Bezerra dos Santos and Elson L. Fava and Osmundo Dantas Pessoa-Neto and Silmara R. Bianchi and Ronaldo Censi Faria and Orlando Fatibello‐Filho;2014;Analytical Methods;String A
35;Behaviour Driven Development Scenario Generation with Large Language Models;Amila Rathnayake and Mojtaba Shahin and Golnoush Abaei;2026;;String A
36;Digital logic testing and simulation;Alexander Miczo;1986;;String A
37;Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation;Sujeet Kumar Tiwari;2025;Frontiers in Emerging Computer Science and Information Technology;String A
